username,repo_name,stars,repo_link
public-apis,public-apis,170000,https://github.com/public-apis/public-apis
httpie,httpie,52900,https://github.com/httpie/httpie
neovim,neovim,49100,https://github.com/neovim/neovim
strapi,strapi,41500,https://github.com/strapi/strapi
tiangolo,fastapi,39000,https://github.com/tiangolo/fastapi
hoppscotch,hoppscotch,34300,https://github.com/hoppscotch/hoppscotch
slatedocs,slate,33400,https://github.com/slatedocs/slate
hasura,graphql-engine,24700,https://github.com/hasura/graphql-engine
YMFE,yapi,23100,https://github.com/YMFE/yapi
ccxt,ccxt,22300,https://github.com/ccxt/ccxt
encode,django-rest-framework,22300,https://github.com/encode/django-rest-framework
Binaryify,NeteaseCloudMusicApi,22100,https://github.com/Binaryify/NeteaseCloudMusicApi
littlecodersh,ItChat,21900,https://github.com/littlecodersh/ItChat
paularmstrong,normalizr,20700,https://github.com/paularmstrong/normalizr
FallibleInc,security-guide-for-developers,20000,https://github.com/FallibleInc/security-guide-for-developers
Kong,insomnia,18800,https://github.com/Kong/insomnia
microsoft,api-guidelines,17900,https://github.com/microsoft/api-guidelines
pubkey,rxdb,16600,https://github.com/pubkey/rxdb
shieldfy,API-Security-Checklist,16300,https://github.com/shieldfy/API-Security-Checklist
learn-anything,learn-anything,13500,https://github.com/learn-anything/learn-anything
youfou,wxpy,13100,https://github.com/youfou/wxpy
directus,directus,13000,https://github.com/directus/directus
jsdoc,jsdoc,12500,https://github.com/jsdoc/jsdoc
ChainSafe,web3.js,12400,https://github.com/ChainSafe/web3.js
BrainJS,brain.js,12300,https://github.com/BrainJS/brain.js
fangzesheng,free-api,11100,https://github.com/fangzesheng/free-api
graphile,postgraphile,10900,https://github.com/graphile/postgraphile
micro,micro,10700,https://github.com/micro/micro
OpenAPITools,openapi-generator,10500,https://github.com/OpenAPITools/openapi-generator
go-chi,chi,10500,https://github.com/go-chi/chi
