Name,Artist,Album,Views,Likes,Comments,Date Published,Link
all i want for christmas is you,Mariah Carey,Columbia,266196150,3542063,141610,2019-12-20T05:00:11Z,https://www.youtube.com/watch?v=aAkMkVFwAoo
NAN,NAN,NAN,0,0,0,0,NAN
rockin' around the christmas tree,Brenda Lee,Decca,40566363,235779,4484,2017-12-22T00:01:01Z,https://www.youtube.com/watch?v=1qYz7rfgLWE
jingle bell rock,Bobby Helms,Decca,20495014,109036,4646,2008-12-16T03:12:58Z,https://www.youtube.com/watch?v=itcMLwMEeMQ
a holly jolly christmas,Burl Ives,Decca,34047153,97681,2560,2017-12-05T18:44:32Z,https://www.youtube.com/watch?v=Dkq3LD-4pmM
stay,the Kid LAROI & Justin Bieber,Grade A/ Columbia,428989898,7810883,214038,2021-07-09T04:00:12Z,https://www.youtube.com/watch?v=kTJczUoc26U
heat waves,Glass Animals,Wolf Tone/ Polydor/ Republic,130355457,2300022,57911,2020-06-29T18:30:09Z,https://www.youtube.com/watch?v=mRD0-GxqHVo
it's the most wonderful time of the year,Andy Williams,Columbia,38505572,115703,9532,2007-12-21T16:14:15Z,https://www.youtube.com/watch?v=gFtb3EtjEic
shivers,Ed Sheeran,Asylum,116246834,1493086,47391,2021-09-09T23:00:12Z,https://www.youtube.com/watch?v=Il0S8BoucSA
feliz navidad,Jose Feliciano,RCA,15098206,120880,3781,2019-08-16T16:34:18Z,https://www.youtube.com/watch?v=N8NcQzMQN_U
last christmas,Wham!,Columbia/Epic,688080233,3501306,225669,2009-10-25T18:58:28Z,https://www.youtube.com/watch?v=E8gmARGvPlI
industry baby,Lil Nas X & Jack Harlow,Columbia,275401521,7046341,405671,2021-07-23T04:00:12Z,https://www.youtube.com/watch?v=UTHLKHL_whs
it's beginning to look a lot like christmas,Perry Como & the Fontane Sisters with Mitchell Ayres & His Orchestra,RCA,96260841,407674,14902,2017-12-05T18:44:32Z,https://www.youtube.com/watch?v=QJ5DOWPGxwg
need to know,Doja Cat,Kemosabe/ RCA,160980923,3262492,78602,2021-06-11T14:00:11Z,https://www.youtube.com/watch?v=dI3xkL7qUAc
sleigh ride,the Ronettes,Philles/ Sony Music,3169423,31664,1321,2020-05-26T17:31:35Z,https://www.youtube.com/watch?v=XZTzai1H9DM
super gremlin,Kodak Black,Dollaz N Dealz/ Sniper Gang/ Atlantic,59553869,680302,27467,2021-11-01T19:00:15Z,https://www.youtube.com/watch?v=kiB9qk4gnt4
abcdefu,GAYLE,Atlantic,56743800,1615418,21033,2021-08-13T15:00:41Z,https://www.youtube.com/watch?v=NaFd8ucHLuo
the christmas song,Nat King Cole,Capitol,15470111,125332,7557,2012-12-16T23:51:03Z,https://www.youtube.com/watch?v=hwacxSnc4tI
bad habits,Ed Sheeran,Asylum,283882152,3287173,138698,2021-06-25T04:00:33Z,https://www.youtube.com/watch?v=orJSJGHjBLI
cold heart,Elton John & Dua Lipa,EMI/ Mercury,152554112,1400661,30383,2021-08-13T12:00:13Z,https://www.youtube.com/watch?v=qod03PVTLqk
underneath the tree,Kelly Clarkson,RCA,33534577,175475,8073,2013-10-18T07:00:03Z,https://www.youtube.com/watch?v=YfF10ow4YEo
christmas,Darlene Love,Sony Legacy/ Philles,40758197,739304,25759,2021-12-03T08:00:10Z,https://www.youtube.com/watch?v=Q_yuO8UNGmY
santa tell me,Ariana Grande,Republic,251547362,2879892,122229,2014-12-13T04:00:01Z,https://www.youtube.com/watch?v=nlR0MkrRklg
rudolph the red-nosed reindeer,Gene Autry,Challenge/ Columbia,12778436,36562,0,2015-12-18T20:30:09Z,https://www.youtube.com/watch?v=VjL031bE9FA
white christmas,Bing Crosby,Decca (1942-1973 issues); MCA (1983-1985 issues),0,0,0,0,https://www.google.com/search?source=lnms&tbm=vid&q=white+christmas
run rudolph run,Chuck Berry,Chess,2912246,42103,1263,2020-10-16T16:00:11Z,https://www.youtube.com/watch?v=YiadNVhaGwk
